type;title;director;cast;country;date_added;release_year;rating;listed_in;description;duration_value;duration_unit;country_count
TV Show;Tip the Mouse;Unknown;Alyson Leigh Rosenfeld,Dave Wills,Serra Hirsch,Erica Schroeder,Jason Griffith;Germany, United States, Italy;2017-09-01;2014;TV-Y;Kids' TV;In his tiny meadow village, curious little mouse Tip enjoys fun and adventure while learning about the world with his furry friends and family.;1;Season;3
TV Show;Toast of London;Michael Cumming;Matt Berry,Robert Bathurst,Doon Mackichan,Shazad Latif,Tim Downie,Harry Peacock,Tracy Ann Oberman;United Kingdom;2017-09-01;2015;TV-MA;British TV Shows, Classic & Cult TV, TV Comedies;After a divorce and fatal career move, a classically trained British stage actor navigates single life with his odd roommate and takes on horrid jobs.;3;Seasons;1
TV Show;Tobot;Unknown;Octavian Kaul,Valin Shinyei,Chelsea Miller,Sunni Westbrook,Sam Vincent,Rebecca Shoichet,Jeff Evans Todd,Paul Dobson,Rhona Rees;Canada;2019-09-11;2018;TV-Y7;Kids' TV, Korean TV Shows;They’re robots that can transform into cars – and the Tobots are committed to fighting villains to protect the city and root out crime.;2;Seasons;1
TV Show;Top 10 Secrets and Mysteries;Unknown;Unknown;United Kingdom, United States, Czech Republic;2019-03-15;2018;TV-14;British TV Shows, Docuseries, Science & Nature TV;This series investigates mysteries that persistently elude scientific explanation, such as mythical creatures, UFOs, sacred sites and more.;1;Season;3
TV Show;Top Grier;Unknown;Unknown;United States;2018-12-31;2018;TV-MA;Reality TV;Social media star Hayes Grier returns to North Carolina for a reality series packed with action sports, pranks and romantic escapades.;3;Seasons;1
TV Show;Towies;Unknown;Unknown;Unknown;2017-12-27;2016;TV-MA;International TV Shows, Reality TV;Australia's toughest tow truck operators work to keep Queensland's streets clear of overturned semis and other automotive disasters.;1;Season;0
TV Show;Trotsky;Unknown;Konstantin Khabenskiy,Olga Sutulova,Max Matveev,Evgeniy Stychkin,Orkhan Abulov;Russia;2018-12-10;2017;TV-MA;International TV Shows, TV Dramas;The complex historical figure of Leon Trotsky comes to life in this epic biography that depicts the tumultuous life of the Russian revolutionary.;1;Season;1
TV Show;Twin Peaks;Unknown;Kyle MacLachlan,Michael Ontkean,Mädchen Amick,Dana Ashbrook,Richard Beymer,Lara Flynn Boyle,Sherilyn Fenn,Warren Frost,Peggy Lipton,James Marshall,Everett McGill,Jack Nance,Joan Chen,Kimmy Robertson,Michael Horse,Piper Laurie,Harry Goaz,Eric DaRe,Wendy Robie,Ray Wise,Sheryl Lee,Russ Tamblyn,Don S. Davis,Chris Mulkey,Gary Hershberger,Grace Zabriskie;United States;2017-07-01;1990;TV-14;Classic & Cult TV, Crime TV Shows, TV Dramas;"""Who killed Laura Palmer?"" is the question on everyone's lips in a secretive small town, but as an eccentric FBI agent learns, the answer isn't easy.";2;Seasons;1
TV Show;Twirlywoos;Unknown;Linda Bassett;United Kingdom;2020-05-15;2018;TV-Y;British TV Shows, Kids' TV;The colorful and curious family of Twirlywoos bounces around their boat and visits new places, turning learning into adventures wherever they land.;2;Seasons;1
TV Show;Ugly Duckling;Unknown;Mook Worranit Thawornwong,Puttichai Kasetsin,Natcha Juntapan,Neen Suwanamas,Esther Supreeleela,Shaun Jindachote,Lapassalal Jiravechsoontornkul,Chatchawit Techarukpong;Thailand;2019-02-15;2015;TV-14;International TV Shows, Romantic TV Shows, TV Dramas;Young women face up to their insecurities and circumstances, finding love and laughs along the way. Featuring a different storyline every season.;4;Seasons;1
TV Show;V.R. Troopers;Unknown;Michael Sorich,Gardner Baldwin,Mike Reynolds,Richard Rabago,Brad Hawkins,Michael Bacon,Kerrigan Mahan,Sarah Brown,Julian Combs,David Carr,Farrand Thompson,Zeb,Aaron Pruner;United States;2016-01-01;1995;TV-G;Kids' TV;Three friends who study martial arts find themselves defending humanity from a criminal mastermind and his invading army from another dimension.;2;Seasons;1
TV Show;ViR: The Robot Boy;Unknown;Vidit Kumar,Roopa Bhimani,Anubhav Saha,Brian Dcosta;Unknown;2018-03-31;2013;TV-Y7;Kids' TV;Humanoid robot boy ViR lives with his inventor, Dr. Prem Sahay, and, with his best friends, is always ready to use his superpowers to save the day.;2;Seasons;0
TV Show;Wake Up;Unknown;Jag Huang,Chris Wu,Tiffany Hsu,Michael Huang,Lego Li,Summer Meng;Unknown;2018-03-31;2017;TV-14;International TV Shows, TV Dramas;After taking the blame for a patient death, an anesthesiologist battling psychiatric trauma fights to stay afloat in the corrupt hospital system.;2;Seasons;0
TV Show;Wartime Portraits;Unknown;Unknown;Poland;2016-09-15;2014;TV-MA;Docuseries, International TV Shows;Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.;1;Season;1
TV Show;Weeds;Unknown;Mary-Louise Parker,Hunter Parrish,Alexander Gould,Kevin Nealon,Justin Kirk,Elizabeth Perkins,Allie Grant,Andy Milder,Tonye Patano,Romany Malco;United States;2014-04-01;2012;TV-MA;TV Comedies, TV Dramas;A suburban mother starts selling marijuana to her affluent neighbors so she can maintain her comfortable lifestyle after her husband's sudden death.;8;Seasons;1
TV Show;What Happens to My Family;Unknown;Settar Tanrıöğen,Uraz Kaygılaroğlu,Berna Koraltürk,Melis Tüzüngüç,Özgün Karaman,Tülay Bursa,Tolga Pancaroğlu,Ertunç Tuncer,Cansu Gültekin;Turkey;2017-05-05;2016;TV-14;International TV Shows, TV Comedies, TV Dramas;A naïve young woman goes to Istanbul to meet the now-grown boy who jokingly promised to marry her in 11 years after she saved his life as a child.;1;Season;1
TV Show;What Is Love?;Unknown;Chris Wu,Jade Chou,Duncan Lai,King Chin,Kimi Hsia,Gina Lim;Taiwan;2017-01-01;2012;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;A 32-year-old romantic looking for a long-term, monogamous relationship meets a handsome bad boy who only believes in one-night stands.;1;Season;1
TV Show;When Calls the Heart;Unknown;Erin Krakow,Daniel Lissing,Lori Loughlin,Martin Cummins,Chelah Horsdal,Gracyn Shinyei,Jack Wagner,Mitchell Kummen,Loretta Walsh,Erica Carroll,Darius Zaviceanu,Charlotte Hegele,Steve Bacic,Adrian Hough;United States;2018-12-29;2017;TV-PG;TV Dramas;Leaving behind her upper-crust city roots, a woman journeys west in the early 1900s to become a teacher in a small Canadian mining community.;5;Seasons;1
TV Show;Who's the One;Unknown;Tien Hsin,Weber Yang,Pink Yang,Johnny Lu,Amanda Chou,Xiu Qin;Taiwan;2017-01-01;2011;TV-14;International TV Shows, Romantic TV Shows, TV Comedies;A doctor performs plastic surgery on a fat man who's been jilted, and continues his transformation by turning him into a handsome, desirable man.;1;Season;1
TV Show;Wild Alaska;Unknown;Dougray Scott;United Kingdom;2017-03-31;2015;TV-PG;British TV Shows, Docuseries, Science & Nature TV;The natural bounty of Alaska sustains its diverse species through extreme weather conditions in three seasons, each with its rewards and challenges.;1;Season;1
TV Show;Wild Arabia;Unknown;Alexander Siddig;United Kingdom;2017-03-31;2013;TV-PG;British TV Shows, Docuseries, Science & Nature TV;The widely varied geology and dramatic landscapes in the continental crossroads of Arabia harbors a rich history and an abundance of wildlife.;1;Season;1
TV Show;Winsanity;Unknown;Donald Faison;United States;2018-12-15;2016;TV-G;Reality TV;Actor Donald Faison hosts this game show in which contestants must arrange numerical-based trivia tidbits from largest to smallest for various prizes.;1;Season;1
TV Show;Winter Sun;Unknown;Şükrü Özyıldız,Aslı Enver,Şenay Gürler,Başak Parlak,Mahir Günşiray,Hakan Boyav,Hakan Gerçek,Berrak Kuş,Gamze Süner Atay,Mehmet Esen;Turkey;2017-08-01;2014;TV-MA;International TV Shows, TV Dramas, TV Thrillers;Years after ruthless businessmen kill his father and order the death of his twin brother, a modest fisherman adopts a new persona to exact revenge.;1;Season;1
